t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
0.226	0.999879	1.00007	0.500189	0.977388	0.0001	5
0.227	0.999878	1.00007	0.498063	0.977289	0.0001	5
0.228	0.999878	1.00007	0.495938	0.977191	0.0001	5
0.229	0.999877	1.00007	0.493814	0.977092	0.0001	5
0.23	0.999877	1.00007	0.49169	0.976994	0.0001	5
0.231	0.999876	1.00007	0.489568	0.976895	0.0001	5
0.232	0.999876	1.00007	0.487446	0.976797	0.0001	5
0.233	0.999875	1.00007	0.485324	0.976698	0.0001	5
0.234	0.999875	1.00007	0.483204	0.9766	0.0001	5
0.235	0.999874	1.00007	0.481084	0.976502	0.0001	5
0.236	0.999874	1.00007	0.478965	0.976403	0.0001	5
0.237	0.999873	1.00007	0.476847	0.976305	0.0001	5
0.238	0.999873	1.00007	0.474729	0.976207	0.0001	5
0.239	0.999872	1.00007	0.472612	0.976108	0.0001	5
0.24	0.999871	1.00007	0.470496	0.97601	0.0001	5
0.241	0.999871	1.00007	0.468381	0.975911	0.0001	5
0.242	0.99987	1.00008	0.466266	0.975813	0.0001	5
0.243	0.99987	1.00008	0.464153	0.975715	0.0001	5
0.244	0.999869	1.00008	0.462039	0.975617	0.0001	5
0.245	0.999869	1.00008	0.459927	0.975518	0.0001	5
0.246	0.999868	1.00008	0.457815	0.97542	0.0001	5
0.247	0.999868	1.00008	0.455704	0.975322	0.0001	5
0.248	0.999867	1.00008	0.453594	0.975224	0.0001	5
0.249	0.999867	1.00008	0.451485	0.975125	0.0001	5
0.25	0.999866	1.00008	0.449376	0.975027	0.0001	5
0.251	0.999866	1.00008	0.447268	0.974929	0.0001	5
0.252	0.999865	1.00008	0.445161	0.974831	0.0001	5
0.253	0.999865	1.00008	0.443055	0.974733	0.0001	5
0.254	0.999864	1.00008	0.440949	0.974634	0.0001	5
0.255	0.999863	1.00008	0.438844	0.974536	0.0001	5
0.256	0.999863	1.00008	0.43674	0.974438	0.0001	5
0.257	0.999862	1.00008	0.434636	0.97434	0.0001	5
0.258	0.999862	1.00008	0.432533	0.974242	0.0001	5
0.259	0.999861	1.00008	0.430431	0.974144	0.0001	5
