t	FBP	Ca_c	NADH_m	Ca_m	deltaPsi	ATP_m	J_o
0.00335	1	0.1	35.6012	0.0361993	152.235	1650.82	0.156421
0.00336667	1	0.1	35.601	0.0362001	152.235	1650.82	0.156421
0.00338333	1	0.1	35.6007	0.036201	152.235	1650.83	0.15642
0.0034	1	0.1	35.6004	0.0362019	152.235	1650.84	0.156419
0.00341667	1	0.1	35.6002	0.0362028	152.235	1650.85	0.156418
0.00343333	1	0.1	35.5999	0.0362036	152.235	1650.86	0.156417
0.00345	1	0.1	35.5997	0.0362045	152.235	1650.87	0.156416
0.00346667	1	0.1	35.5994	0.0362054	152.235	1650.88	0.156416
0.00348333	1	0.1	35.5991	0.0362063	152.235	1650.88	0.156415
0.0035	1	0.1	35.5989	0.0362071	152.234	1650.89	0.156414
0.00351667	1	0.1	35.5986	0.036208	152.234	1650.9	0.156413
0.00353333	1	0.1	35.5984	0.0362089	152.234	1650.91	0.156412
0.00355	1	0.1	35.5981	0.0362097	152.234	1650.92	0.156412
0.00356667	1	0.1	35.5979	0.0362106	152.234	1650.93	0.156411
0.00358333	1	0.1	35.5976	0.0362115	152.234	1650.93	0.15641
0.0036	1	0.1	35.5974	0.0362123	152.234	1650.94	0.156409
0.00361667	1	0.1	35.5971	0.0362132	152.234	1650.95	0.156408
0.00363333	1	0.1	35.5969	0.0362141	152.234	1650.96	0.156408
0.00365	1	0.1	35.5966	0.0362149	152.234	1650.97	0.156407
0.00366667	1	0.1	35.5964	0.0362158	152.234	1650.98	0.156406
0.00368333	1	0.1	35.5962	0.0362166	152.234	1650.99	0.156405
0.0037	1	0.1	35.5959	0.0362175	152.234	1650.99	0.156405
0.00371667	1	0.1	35.5957	0.0362184	152.234	1651	0.156404
0.00373333	1	0.1	35.5955	0.0362192	152.233	1651.01	0.156403
0.00375	1	0.1	35.5952	0.0362201	152.233	1651.02	0.156402
0.00376667	1	0.1	35.595	0.0362209	152.233	1651.03	0.156402
0.00378333	1	0.1	35.5948	0.0362218	152.233	1651.04	0.156401
0.0038	1	0.1	35.5945	0.0362226	152.233	1651.04	0.1564
0.00381667	1	0.1	35.5943	0.0362235	152.233	1651.05	0.156399
0.00383333	1	0.1	35.5941	0.0362243	152.233	1651.06	0.156399
0.00385	1	0.1	35.5939	0.0362252	152.233	1651.07	0.156398
0.00386667	1	0.1	35.5936	0.036226	152.233	1651.08	0.156397
0.00388333	1	0.1	35.5934	0.0362269	152.233	1651.09	0.156397
0.0039	1	0.1	35.5932	0.0362277	152.233	1651.09	0.156396
0.00391667	1	0.1	35.593	0.0362286	152.233	1651.1	0.156395
0.00393333	1	0.1	35.5928	0.0362294	152.233	1651.11	0.156395
0.00395	1	0.1	35.5926	0.0362303	152.233	1651.12	0.156394
0.00396667	1	0.1	35.5923	0.0362311	152.233	1651.13	0.156393
0.00398333	1	0.1	35.5921	0.0362319	152.232	1651.14	0.156393
0.004	1	0.1	35.5919	0.0362328	152.232	1651.14	0.156392
0.00401667	1	0.1	35.5917	0.0362336	152.232	1651.15	0.156391
0.00403333	1	0.1	35.5915	0.0362345	152.232	1651.16	0.156391
0.00405	1	0.1	35.5913	0.0362353	152.232	1651.17	0.15639
0.00406667	1	0.1	35.5911	0.0362361	152.232	1651.18	0.156389
0.00408333	1	0.1	35.5909	0.036237	152.232	1651.19	0.156389
0.0041	1	0.1	35.5907	0.0362378	152.232	1651.19	0.156388
0.00411667	1	0.1	35.5905	0.0362386	152.232	1651.2	0.156387
0.00413333	1	0.1	35.5903	0.0362395	152.232	1651.21	0.156387
0.00415	1	0.1	35.5901	0.0362403	152.232	1651.22	0.156386
0.00416667	1	0.1	35.5899	0.0362411	152.232	1651.23	0.156385
0.00418333	1	0.1	35.5897	0.036242	152.232	1651.24	0.156385
0.0042	1	0.1	35.5895	0.0362428	152.232	1651.24	0.156384
0.00421667	1	0.1	35.5893	0.0362436	152.232	1651.25	0.156384
0.00423333	1	0.1	35.5891	0.0362444	152.232	1651.26	0.156383
0.00425	1	0.1	35.5889	0.0362453	152.231	1651.27	0.156382
0.00426667	1	0.1	35.5888	0.0362461	152.231	1651.28	0.156382
0.00428333	1	0.1	35.5886	0.0362469	152.231	1651.29	0.156381
0.0043	1	0.1	35.5884	0.0362477	152.231	1651.29	0.156381
0.00431667	1	0.1	35.5882	0.0362486	152.231	1651.3	0.15638
0.00433333	1	0.1	35.588	0.0362494	152.231	1651.31	0.15638
0.00435	1	0.1	35.5878	0.0362502	152.231	1651.32	0.156379
0.00436667	1	0.1	35.5877	0.036251	152.231	1651.33	0.156378
0.00438333	1	0.1	35.5875	0.0362518	152.231	1651.34	0.156378
0.0044	1	0.1	35.5873	0.0362527	152.231	1651.34	0.156377
0.00441667	1	0.1	35.5871	0.0362535	152.231	1651.35	0.156377
0.00443333	1	0.1	35.587	0.0362543	152.231	1651.36	0.156376
0.00445	1	0.1	35.5868	0.0362551	152.231	1651.37	0.156376
0.00446667	1	0.1	35.5866	0.0362559	152.231	1651.38	0.156375
0.00448333	1	0.1	35.5864	0.0362567	152.231	1651.39	0.156375
0.0045	1	0.1	35.5863	0.0362575	152.231	1651.39	0.156374
0.00451667	1	0.1	35.5861	0.0362584	152.231	1651.4	0.156373
0.00453333	1	0.1	35.5859	0.0362592	152.231	1651.41	0.156373
0.00455	1	0.1	35.5858	0.03626	152.23	1651.42	0.156372
0.00456667	1	0.1	35.5856	0.0362608	152.23	1651.43	0.156372
0.00458333	1	0.1	35.5855	0.0362616	152.23	1651.43	0.156371
0.0046	1	0.1	35.5853	0.0362624	152.23	1651.44	0.156371
0.00461667	1	0.1	35.5851	0.0362632	152.23	1651.45	0.15637
0.00463333	1	0.1	35.585	0.036264	152.23	1651.46	0.15637
0.00465	1	0.1	35.5848	0.0362648	152.23	1651.47	0.156369
0.00466667	1	0.1	35.5847	0.0362656	152.23	1651.48	0.156369
0.00468333	1	0.1	35.5845	0.0362664	152.23	1651.48	0.156368
0.0047	1	0.1	35.5844	0.0362672	152.23	1651.49	0.156368
0.00471667	1	0.1	35.5842	0.036268	152.23	1651.5	0.156367
0.00473333	1	0.1	35.5841	0.0362688	152.23	1651.51	0.156367
0.00475	1	0.1	35.5839	0.0362696	152.23	1651.52	0.156366
0.00476667	1	0.1	35.5838	0.0362704	152.23	1651.53	0.156366
0.00478333	1	0.1	35.5836	0.0362712	152.23	1651.53	0.156365
0.0048	1	0.1	35.5835	0.036272	152.23	1651.54	0.156365
0.00481667	1	0.1	35.5833	0.0362728	152.23	1651.55	0.156365
0.00483333	1	0.1	35.5832	0.0362736	152.23	1651.56	0.156364
0.00485	1	0.1	35.583	0.0362744	152.23	1651.57	0.156364
0.00486667	1	0.1	35.5829	0.0362752	152.23	1651.57	0.156363
0.00488333	1	0.1	35.5827	0.036276	152.229	1651.58	0.156363
0.0049	1	0.1	35.5826	0.0362767	152.229	1651.59	0.156362
0.00491667	1	0.1	35.5825	0.0362775	152.229	1651.6	0.156362
0.00493333	1	0.1	35.5823	0.0362783	152.229	1651.61	0.156361
0.00495	1	0.1	35.5822	0.0362791	152.229	1651.61	0.156361
0.00496667	1	0.1	35.5821	0.0362799	152.229	1651.62	0.156361
0.00498333	1	0.1	35.5819	0.0362807	152.229	1651.63	0.15636
0.005	1	0.1	35.5818	0.0362815	152.229	1651.64	0.15636
0.00501667	1	0.1	35.5817	0.0362822	152.229	1651.65	0.156359
0.00503333	1	0.1	35.5815	0.036283	152.229	1651.66	0.156359
0.00505	1	0.1	35.5814	0.0362838	152.229	1651.66	0.156359
0.00506667	1	0.1	35.5813	0.0362846	152.229	1651.67	0.156358
0.00508333	1	0.1	35.5812	0.0362854	152.229	1651.68	0.156358
0.0051	1	0.1	35.581	0.0362861	152.229	1651.69	0.156357
0.00511667	1	0.1	35.5809	0.0362869	152.229	1651.7	0.156357
0.00513333	1	0.1	35.5808	0.0362877	152.229	1651.7	0.156357
0.00515	1	0.1	35.5807	0.0362885	152.229	1651.71	0.156356
0.00516667	1	0.1	35.5805	0.0362892	152.229	1651.72	0.156356
0.00518333	1	0.1	35.5804	0.03629	152.229	1651.73	0.156355
0.0052	1	0.1	35.5803	0.0362908	152.229	1651.74	0.156355
0.00521667	1	0.1	35.5802	0.0362916	152.229	1651.74	0.156355
0.00523333	1	0.1	35.5801	0.0362923	152.229	1651.75	0.156354
0.00525	1	0.1	35.58	0.0362931	152.229	1651.76	0.156354
0.00526667	1	0.1	35.5798	0.0362939	152.229	1651.77	0.156354
0.00528333	1	0.1	35.5797	0.0362946	152.228	1651.78	0.156353
0.0053	1	0.1	35.5796	0.0362954	152.228	1651.78	0.156353
0.00531667	1	0.1	35.5795	0.0362962	152.228	1651.79	0.156352
0.00533333	1	0.1	35.5794	0.0362969	152.228	1651.8	0.156352
0.00535	1	0.1	35.5793	0.0362977	152.228	1651.81	0.156352
0.00536667	1	0.1	35.5792	0.0362985	152.228	1651.82	0.156351
0.00538333	1	0.1	35.5791	0.0362992	152.228	1651.83	0.156351
0.0054	1	0.1	35.579	0.0363	152.228	1651.83	0.156351
0.00541667	1	0.1	35.5789	0.0363008	152.228	1651.84	0.15635
0.00543333	1	0.1	35.5788	0.0363015	152.228	1651.85	0.15635
0.00545	1	0.1	35.5787	0.0363023	152.228	1651.86	0.15635
0.00546667	1	0.1	35.5786	0.036303	152.228	1651.87	0.156349
0.00548333	1	0.1	35.5784	0.0363038	152.228	1651.87	0.156349
0.0055	1	0.1	35.5784	0.0363046	152.228	1651.88	0.156349
0.00551667	1	0.1	35.5783	0.0363053	152.228	1651.89	0.156349
0.00553333	1	0.1	35.5782	0.0363061	152.228	1651.9	0.156348
0.00555	1	0.1	35.5781	0.0363068	152.228	1651.91	0.156348
0.00556667	1	0.1	35.578	0.0363076	152.228	1651.91	0.156348
0.00558333	1	0.1	35.5779	0.0363083	152.228	1651.92	0.156347
0.0056	1	0.1	35.5778	0.0363091	152.228	1651.93	0.156347
0.00561667	1	0.1	35.5777	0.0363098	152.228	1651.94	0.156347
0.00563333	1	0.1	35.5776	0.0363106	152.228	1651.95	0.156346
0.00565	1	0.1	35.5775	0.0363113	152.228	1651.95	0.156346
0.00566667	1	0.1	35.5774	0.0363121	152.228	1651.96	0.156346
0.00568333	1	0.1	35.5773	0.0363128	152.228	1651.97	0.156346
0.0057	1	0.1	35.5772	0.0363136	152.228	1651.98	0.156345
0.00571667	1	0.1	35.5771	0.0363143	152.228	1651.99	0.156345
0.00573333	1	0.1	35.5771	0.0363151	152.228	1651.99	0.156345
0.00575	1	0.1	35.577	0.0363158	152.227	1652	0.156345
0.00576667	1	0.1	35.5769	0.0363165	152.227	1652.01	0.156344
0.00578333	1	0.1	35.5768	0.0363173	152.227	1652.02	0.156344
0.0058	1	0.1	35.5767	0.036318	152.227	1652.03	0.156344
0.00581667	1	0.1	35.5766	0.0363188	152.227	1652.03	0.156343
0.00583333	1	0.1	35.5766	0.0363195	152.227	1652.04	0.156343
0.00585	1	0.1	35.5765	0.0363202	152.227	1652.05	0.156343
0.00586667	1	0.1	35.5764	0.036321	152.227	1652.06	0.156343
0.00588333	1	0.1	35.5763	0.0363217	152.227	1652.07	0.156342
0.0059	1	0.1	35.5763	0.0363225	152.227	1652.07	0.156342
0.00591667	1	0.1	35.5762	0.0363232	152.227	1652.08	0.156342
0.00593333	1	0.1	35.5761	0.0363239	152.227	1652.09	0.156342
0.00595	1	0.1	35.576	0.0363247	152.227	1652.1	0.156342
0.00596667	1	0.1	35.576	0.0363254	152.227	1652.1	0.156341
0.00598333	1	0.1	35.5759	0.0363261	152.227	1652.11	0.156341
0.006	1	0.1	35.5758	0.0363269	152.227	1652.12	0.156341
0.00601667	1	0.1	35.5757	0.0363276	152.227	1652.13	0.156341
0.00603333	1	0.1	35.5757	0.0363283	152.227	1652.14	0.15634
0.00605	1	0.1	35.5756	0.036329	152.227	1652.14	0.15634
0.00606667	1	0.1	35.5755	0.0363298	152.227	1652.15	0.15634
0.00608333	1	0.1	35.5755	0.0363305	152.227	1652.16	0.15634
0.0061	1	0.1	35.5754	0.0363312	152.227	1652.17	0.15634
0.00611667	1	0.1	35.5753	0.036332	152.227	1652.18	0.156339
0.00613333	1	0.1	35.5753	0.0363327	152.227	1652.18	0.156339
0.00615	1	0.1	35.5752	0.0363334	152.227	1652.19	0.156339
0.00616667	1	0.1	35.5752	0.0363341	152.227	1652.2	0.156339
0.00618333	1	0.1	35.5751	0.0363348	152.227	1652.21	0.156339
0.0062	1	0.1	35.575	0.0363356	152.227	1652.22	0.156338
0.00621667	1	0.1	35.575	0.0363363	152.227	1652.22	0.156338
0.00623333	1	0.1	35.5749	0.036337	152.227	1652.23	0.156338
0.00625	1	0.1	35.5749	0.0363377	152.227	1652.24	0.156338
0.00626667	1	0.1	35.5748	0.0363384	152.227	1652.25	0.156338
0.00628333	1	0.1	35.5748	0.0363392	152.227	1652.26	0.156337
0.0063	1	0.1	35.5747	0.0363399	152.227	1652.26	0.156337
