t_min	J_o
14.3833333333	0.0580359468
14.4000000000	0.0578636283
14.4166666667	0.0576929023
14.4333333333	0.0575237305
14.4500000000	0.0573560758
14.4666666667	0.0571899029
14.4833333333	0.0570251777
14.5000000000	0.0568618677
14.5166666667	0.0566999414
14.5333333333	0.0565393687
14.5500000000	0.0563801208
14.5666666667	0.0562221697
14.5833333333	0.0560654887
14.6000000000	0.0559100521
14.6166666667	0.0557558350
14.6333333333	0.0556028137
14.6500000000	0.0554509652
14.6666666667	0.0553002673
14.6833333333	0.0551506986
14.7000000000	0.0550022387
14.7166666667	0.0548548676
14.7333333333	0.0547085662
14.7500000000	0.0545633160
14.7666666667	0.0544190992
14.7833333333	0.0542758984
14.8000000000	0.0541336971
14.8166666667	0.0539924791
14.8333333333	0.0538522287
14.8500000000	0.0537129310
14.8666666667	0.0535745713
14.8833333333	0.0534371353
14.9000000000	0.0533006095
14.9166666667	0.0531649806
14.9333333333	0.0530302355
14.9500000000	0.0528963619
14.9666666667	0.0527633476
14.9833333333	0.0526311807
15.0000000000	0.0524998500
15.0166666667	0.0523693441
15.0333333333	0.5983264035
15.0500000000	0.5982623846
15.0666666667	0.5982498466
15.0833333333	0.5982444179
15.1000000000	0.5982414814
15.1166666667	0.5982398895
15.1333333333	0.5982390441
15.1500000000	0.5982385996
15.1666666667	0.5982383649
15.1833333333	0.5982382383
15.2000000000	0.5982381669
15.2166666667	0.5982381235
15.2333333333	0.5982380940
15.2500000000	0.5982380716
15.2666666667	0.5982380525
15.2833333333	0.5982380350
15.3000000000	0.5982380180
15.3166666667	0.5982380012
15.3333333333	0.5982379843
15.3500000000	0.5982379670
15.3666666667	0.5982379494
15.3833333333	0.5982379315
15.4000000000	0.5982379131
15.4166666667	0.5982378943
15.4333333333	0.5982378750
15.4500000000	0.5982378552
15.4666666667	0.5982378349
15.4833333333	0.5982378141
15.5000000000	0.5982377927
15.5166666667	0.5982377708
15.5333333333	0.5982377483
15.5500000000	0.5982377252
15.5666666667	0.5982377014
15.5833333333	0.5982376769
15.6000000000	0.5982376518
15.6166666667	0.5982376259
15.6333333333	0.5982375993
15.6500000000	0.5982375719
15.6666666667	0.5982375436
15.6833333333	0.5982375145
15.7000000000	0.5982374845
15.7166666667	0.5982374535
15.7333333333	0.5982374215
15.7500000000	0.5982373885
15.7666666667	0.5982373544
15.7833333333	0.5982373191
15.8000000000	0.5982372826
15.8166666667	0.5982372449
15.8333333333	0.5982372058
15.8500000000	0.5982371653
15.8666666667	0.5982371233
15.8833333333	0.5982370797
15.9000000000	0.5981616453
15.9166666667	0.5981238646
15.9333333333	0.5980638755
15.9500000000	0.5979863448
15.9666666667	0.5978941466
15.9833333333	0.5977886075
16.0000000000	0.5976705768
16.0166666667	0.5975407688
16.0333333333	0.5973998598
16.0500000000	0.5972485092
16.0666666667	0.5970873574
16.0833333333	0.5969170168
16.1000000000	0.5967380622
16.1166666667	0.5965510225
16.1333333333	0.5963563742
16.1500000000	0.5961545372
16.1666666667	0.5959458721
16.1833333333	0.5957306795
16.2000000000	0.5955091998
16.2166666667	0.5952816152
16.2333333333	0.5950480509
16.2500000000	0.5948085785
16.2666666667	0.5945632185
16.2833333333	0.5943119438
16.3000000000	0.5940546825
16.3166666667	0.5937913216
16.3333333333	0.5935217097
16.3500000000	0.5932456599
16.3666666667	0.5929629528
16.3833333333	0.5926733388
16.4000000000	0.5923765402
16.4166666667	0.5920722532
16.4333333333	0.5917601497
16.4500000000	0.5914398786
16.4666666667	0.5911110670
16.4833333333	0.5907733212
16.5000000000	0.5904262277
16.5166666667	0.5900693533
16.5333333333	0.5897022459
16.5500000000	0.5893244344
16.5666666667	0.5889354290
16.5833333333	0.5885347212
16.6000000000	0.5881217833
