t_min	J_o_norm
17.0667	0.112772
17.0833	0.110842
17.1	0.108985
17.1167	0.107199
17.1333	0.105478
17.15	0.103819
17.1667	0.10222
17.1833	0.100675
17.2	0.0991831
17.2167	0.0977409
17.2333	0.0963457
17.25	0.0949951
17.2667	0.0936868
17.2833	0.0924187
17.3	0.0911887
17.3167	0.0899951
17.3333	0.0888359
17.35	0.0877095
17.3667	0.0866145
17.3833	0.0855492
17.4	0.0845123
17.4167	0.0835025
17.4333	0.0825186
17.45	0.0815594
17.4667	0.0806238
17.4833	0.0797108
17.5	0.0788194
17.5167	0.0779487
17.5333	0.0770978
17.55	0.0762659
17.5667	0.0754522
17.5833	0.0746559
17.6	0.0738764
17.6167	0.0731131
17.6333	0.0723652
17.65	0.0716321
17.6667	0.0709134
17.6833	0.0702085
17.7	0.0695168
17.7167	0.0688379
17.7333	0.0681714
17.75	0.0675167
17.7667	0.0668735
17.7833	0.0662413
17.8	0.0656199
17.8167	0.0650088
17.8333	0.0644076
17.85	0.0638161
17.8667	0.063234
17.8833	0.0626609
17.9	0.0620966
17.9167	0.0615408
17.9333	0.0609933
17.95	0.0604537
17.9667	0.0599219
17.9833	0.0593976
